risk_budget_pct_percent,risk_budget_pct,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
0.1,0.001,ok,5242,1.5856855063196453,0.050999161713928265,0.3635526616134752,0.03166826444150831,-0.030701287570689573,301.0,2.5234260728969002,1.6611408103488472,0.7899729826282907,6.455810873968219,0.6712328767123288,1.4668402489891659,0.4471000009515005,
0.2,0.002,ok,2262,1.2912284705941326,0.08342146149358576,0.6479029226648365,0.06358936027200499,-0.0699001891364589,451.0,2.0379984214921687,1.1934368493729062,1.9315189312647412,4.318956451488784,0.6301369863013698,1.4953502459301424,0.3827949239950459,
0.3,0.003,ok,8529,1.1875180187169585,0.11468711359670358,0.9676944829355727,0.0952115621245285,-0.10666127623425603,451.0,1.8697863932590728,1.075246027853827,3.073964985888411,3.7309180203156314,0.6164383561643836,1.4943335515198655,0.3597609607826756,
0.4,0.004,ok,7682,1.155590099670627,0.13534066008078027,1.2062954959275523,0.11558384641014591,-0.11791415238225134,356.0,1.8264898646516143,1.1477897889817,3.766327725669325,3.593438222552141,0.6164383561643836,1.4543747536343934,0.3527087755476138,
0.5,0.005,ok,6905,1.157309246907963,0.14810214780780528,1.3655178897948543,0.12617031087577946,-0.12450692042755196,330.0,1.8416852158539072,1.1895093646138561,3.8670283034781994,3.8298697652301836,0.6164383561643836,1.4687764160646637,0.35529469968921734,
0.6,0.006,ok,8607,1.1890945973517417,0.15490985557241888,1.454328666187004,0.12795863853064487,-0.1245069204275513,300.0,1.9039096126480295,1.2441867089834464,3.726407939349234,4.157082587138104,0.6164383561643836,1.5092537072633818,0.36229841800176654,
0.7,0.006999999999999999,ok,4613,1.2041659377493854,0.15818056323908447,1.4979824328748448,0.12879309953186,-0.12450692042755229,300.0,1.9358835217449712,1.2704559930957902,3.6586435069236716,4.323475707314507,0.6164383561643836,1.5302759765168306,0.3657896825122831,
0.8,0.008,ok,7194,1.2049187345319932,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.937539672043111,1.271748073731409,3.6577876776186895,4.328885385798365,0.6164383561643836,1.5313160348515213,0.36595992120643767,
0.9,0.009000000000000001,ok,8374,1.204918734531994,0.1583414362199691,1.5001462957472387,0.1288319838769343,-0.12450692042755196,300.0,1.937539672043113,1.2717480737314095,3.657787677618681,4.328885385798381,0.6164383561643836,1.531316034851522,0.3659599212064378,
1.0,0.01,ok,8308,1.204918734531993,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431106,1.271748073731409,3.657787677618684,4.3288853857983725,0.6164383561643836,1.5313160348515216,0.3659599212064377,
1.1,0.011000000000000001,ok,7485,1.2049187345319932,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431113,1.271748073731409,3.657787677618688,4.328885385798367,0.6164383561643836,1.5313160348515216,0.3659599212064377,
1.2,0.012,ok,8403,1.2049187345319925,0.15834143621996888,1.500146295747236,0.12883198387693431,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.5313160348515213,0.36595992120643767,
1.3,0.013000000000000001,ok,8140,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.5313160348515213,0.36595992120643767,
1.4,0.013999999999999999,ok,7662,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.5313160348515213,0.36595992120643767,
1.5,0.015,ok,7679,1.2049187345319932,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431113,1.271748073731409,3.657787677618688,4.328885385798367,0.6164383561643836,1.5313160348515213,0.36595992120643767,
1.6,0.016,ok,8486,1.2049187345319932,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.937539672043111,1.271748073731409,3.6577876776186895,4.328885385798365,0.6164383561643836,1.5313160348515213,0.36595992120643767,
1.7,0.017,ok,8452,1.2049187345319947,0.1583414362199691,1.50014629574724,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431144,1.2717480737314095,3.6577876776186793,4.328885385798384,0.6164383561643836,1.5313160348515218,0.3659599212064377,
1.8,0.018000000000000002,ok,7669,1.204918734531994,0.1583414362199691,1.5001462957472387,0.1288319838769343,-0.12450692042755196,300.0,1.937539672043113,1.2717480737314095,3.657787677618681,4.328885385798381,0.6164383561643836,1.531316034851522,0.3659599212064378,
1.9,0.019,ok,8356,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431106,1.271748073731409,3.657787677618688,4.328885385798367,0.6164383561643836,1.5313160348515211,0.36595992120643767,
2.0,0.02,ok,8394,1.204918734531993,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431106,1.271748073731409,3.657787677618684,4.3288853857983725,0.6164383561643836,1.5313160348515216,0.3659599212064377,
2.1,0.021,ok,7100,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.5313160348515213,0.36595992120643767,
2.2,0.022000000000000002,ok,8439,1.2049187345319932,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431113,1.271748073731409,3.657787677618688,4.328885385798367,0.6164383561643836,1.5313160348515216,0.3659599212064377,
2.3,0.023,ok,8453,1.2049187345319927,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431106,1.2717480737314077,3.657787677618688,4.328885385798367,0.6164383561643836,1.5313160348515216,0.3659599212064377,
2.4,0.024,ok,8566,1.2049187345319925,0.15834143621996888,1.500146295747236,0.12883198387693431,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.5313160348515213,0.36595992120643767,
2.5,0.025,ok,8248,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431106,1.271748073731409,3.657787677618688,4.328885385798367,0.6164383561643836,1.531316034851521,0.3659599212064376,
2.6,0.026000000000000002,ok,7964,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.5313160348515213,0.36595992120643767,
2.7,0.027000000000000003,ok,7916,1.2049187345319932,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431113,1.271748073731409,3.657787677618688,4.328885385798367,0.6164383561643836,1.5313160348515216,0.3659599212064377,
2.8,0.027999999999999997,ok,7573,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.5313160348515213,0.36595992120643767,
2.9,0.028999999999999998,ok,7098,1.2049187345319927,0.15834143621996888,1.500146295747236,0.1288319838769343,-0.12450692042755196,300.0,1.9375396720431104,1.2717480737314077,3.6577876776186913,4.328885385798363,0.6164383561643836,1.531316034851521,0.3659599212064376,
3.0,0.03,ok,7751,1.2049187345319932,0.15834143621996888,1.5001462957472365,0.1288319838769343,-0.12450692042755185,300.0,1.9375396720431113,1.271748073731409,3.657787677618688,4.328885385798367,0.6164383561643836,1.5313160348515213,0.36595992120643767,
