r_multiple,reduce_fraction,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,error
1.0,0.1,ok,50460,1.5638328476769714,0.15675760908705927,6.707239945143387,0.09605054718141162,-0.09610947190411467,307.0,2.75704870233946,,2.714064794600613,5.77575043156355,
1.0,0.2,ok,49044,1.5634585035838773,0.15591108074798643,6.628518050754703,0.09557741020224125,-0.0958439638375912,307.0,2.748124000329009,,2.71107860253643,5.75088751031118,
1.0,0.3,ok,51128,1.5626786362005685,0.15505027929374626,6.549235088701154,0.09512160920276463,-0.09558139074114202,307.0,2.7384711271940785,,2.708672394490845,5.724216764238534,
1.0,0.4,ok,50013,1.561541790599242,0.15418342606206692,6.470168611662497,0.09468448133724963,-0.09531898759976487,307.0,2.728263010190495,,2.709965914962202,5.68949687561725,
1.0,0.5,ok,50561,1.56003323988949,0.15330980813971684,6.391263759131939,0.09426625254946405,-0.0950567544514418,307.0,2.717557454008121,,2.713811929891727,5.649242176698422,
1.0,0.6,ok,51094,1.558189412641911,0.15243449208306403,6.312982385503612,0.09386730693737566,-0.09479469133408913,307.0,2.706413509053505,,2.719213179850789,5.6058308783068105,
1.0,0.7,ok,51421,1.5560048342134662,0.15155766008192129,6.235337982678971,0.09348788458141569,-0.09453279828554939,307.0,2.6948495225833,,2.725516253591858,5.5606955152877555,
1.0,0.8,ok,51498,1.5534727331403393,0.15067931316412042,6.15832758844145,0.09312822410642846,-0.09427107534359669,307.0,2.6828903028794344,,2.732196652526281,5.514951239867645,
1.0,0.9,ok,49830,1.5505868459541807,0.149799452344747,6.081948228981133,0.09278855531153977,-0.09400952254593498,307.0,2.670681472056915,,2.739245746480404,5.468638676804408,
1.5,0.1,ok,50226,1.5648531912369223,0.15680568304617504,6.711733085091056,0.0960123602044576,-0.09595765185161909,307.0,2.757697761187761,,2.702434630687188,5.802385791892466,
1.5,0.2,ok,50270,1.5655360297669174,0.15601166237253272,6.637832271006231,0.09550198321655162,-0.09552914072737528,287.0,2.7495746103205247,,2.688386067291288,5.803171808940519,
1.5,0.3,ok,50495,1.5658167841337913,0.1552047327624948,6.563404243362196,0.09501021256418846,-0.09510066682867935,287.0,2.7408479146676634,,2.6761943454086294,5.799456718409459,
1.5,0.4,ok,45848,1.5657238260105244,0.15439059387344556,6.48899432940949,0.0945381336474196,-0.09467223024456062,287.0,2.731662047146254,,2.6674562211493438,5.787933561920739,
1.5,0.5,ok,50604,1.5652605627819651,0.1535705979583648,6.4147367783989155,0.0940859439839557,-0.09424383106403489,287.0,2.722086290769372,,2.661087108100718,5.770972227510878,
1.5,0.6,ok,50360,1.564453664319835,0.1527488435032629,6.341006460703803,0.09365401739054191,-0.09381546937609186,287.0,2.712239477119175,,2.65615387168115,5.75075281337463,
1.5,0.7,ok,50427,1.5632947406080975,0.15192539475248212,6.267807590610154,0.09324263681902624,-0.09338714526971015,287.0,2.7020668449803327,,2.652722641078398,5.72714962355509,
1.5,0.8,ok,43318,1.561775288672123,0.15110025115079195,6.195138471282285,0.09285207535689632,-0.09295885883384969,287.0,2.6916192384204076,,2.651105677291844,5.6995182215875975,
1.5,0.9,ok,50371,1.5598873181805417,0.15027341212039524,6.122997388362194,0.09248259676686042,-0.09253061015744812,288.0,2.6809654847654056,,2.649880992576048,5.670949470614107,
2.0,0.1,ok,50637,1.56655728625718,0.1571297935239413,6.742088989939079,0.09609117097514148,-0.09572851117998227,307.0,2.7628439873643362,,2.7073274921699593,5.803870938347384,
2.0,0.2,ok,50528,1.5689809251453948,0.15666452682770893,6.698547101296776,0.09566104194173278,-0.09507056347091525,307.0,2.7600081547170836,,2.6969839798821607,5.8088786583950744,
2.0,0.3,ok,38096,1.5709947459779392,0.15618541661444918,6.653947424439696,0.09525059442572201,-0.0944123569543669,307.0,2.756615888080213,,2.6868508289052326,5.812954516648307,
2.0,0.4,ok,50323,1.572638521505675,0.15569859561243016,6.608875833525459,0.0948604208947119,-0.09375389159954572,307.0,2.7528004675137505,,2.6769777718848857,5.816208010677701,
2.0,0.5,ok,50598,1.5739526668500081,0.1552096083187502,6.563851915912282,0.09449080681140892,-0.0930951673756617,307.0,2.74874839563571,,2.6672652356095727,5.8190541475444535,
2.0,0.6,ok,50658,1.5749290239267775,0.15471852382450613,6.518884016039278,0.09414199651506296,-0.09243618425192768,307.0,2.7445136158411505,,2.6578753563226867,5.821135421435545,
2.0,0.7,ok,50218,1.5755592782073973,0.1542253381863603,6.473973693032173,0.09381422205740049,-0.09177694219755828,307.0,2.740088770177113,,2.6497037368338376,5.820474796576541,
2.0,0.8,ok,50340,1.5758356367433037,0.15373004742723806,6.4291224978664525,0.09350770465074192,-0.09111744118176957,307.0,2.7354184205113996,,2.641713287741191,5.819331270377401,
2.0,0.9,ok,50375,1.5757508753745162,0.15323264753593246,6.384331973281628,0.09322265397577739,-0.09045768117378161,307.0,2.7305963637762996,,2.633911221753083,5.8176846003922495,
2.5,0.1,ok,51028,1.559597233812759,0.1563339591419819,6.667749302258251,0.0960781152324311,-0.09600891098423237,307.0,2.7474931929772275,,2.715027790447169,5.758097935205056,
2.5,0.2,ok,44201,1.55498528457187,0.15507186336947654,6.551213672137893,0.09563440166296873,-0.0956316960108422,307.0,2.729413976350279,,2.7134461967053216,5.7149415218833335,
2.5,0.3,ok,50336,1.5499324030139852,0.1538003898108129,6.435477106898932,0.09521036608352226,-0.09525455525773752,307.0,2.7110288889063936,,2.7122096532691016,5.670667443626012,
2.5,0.4,ok,50098,1.5444731081336693,0.15252441181798915,6.320988466478933,0.09480645310827039,-0.09487748879042801,307.0,2.6923950933212706,,2.7112797627976835,5.625550483975289,
2.5,0.5,ok,50433,1.5386250134051076,0.151246199039605,6.2079425529635355,0.09442274056658974,-0.09450049667438332,310.0,2.6735469399994045,,2.710658111321473,5.579685553404999,
2.5,0.6,ok,49440,1.5323948851045295,0.14996713655154958,6.096446002205851,0.0940595408282649,-0.09412357897503665,310.0,2.6545336931164627,,2.7102089578798476,5.533416016337959,
2.5,0.7,ok,50103,1.5257785277137847,0.14868722770230103,5.986480740856993,0.0937170929160138,-0.09374673575778403,310.0,2.635432714711316,,2.7099572057693115,5.486700210090262,
2.5,0.8,ok,50457,1.5187723910201527,0.14740647082904923,5.878028437692382,0.09339562509839368,-0.09336996708798151,311.0,2.61623097132962,,2.7098616270194644,5.439630915441958,
2.5,0.9,ok,51093,1.5113736454720932,0.1461248642430275,5.771070946277113,0.09309535471492039,-0.09299327303094873,311.0,2.5968623622850555,,2.709928574014631,5.392203530536247,
3.0,0.1,ok,50338,1.5629928726359479,0.15665263210279345,6.697436923137986,0.09604371238378717,-0.09595311237509097,307.0,2.7539247523230843,,2.7123336687661106,5.775566402715398,
3.0,0.2,ok,50149,1.5617762893801768,0.15571227976078617,6.610139385690758,0.09556979042958119,-0.0955200513236849,307.0,2.7422598194121655,,2.708068653383208,5.749938413350555,
3.0,0.3,ok,50574,1.5601191216793207,0.1547655562168695,6.523179929465364,0.09511951499802127,-0.09508701703909495,307.0,2.730223471014346,,2.7041740452615937,5.723209883182572,
3.0,0.4,ok,55595,1.5580246840329772,0.15381406671541642,6.4367132407665295,0.09469326859443847,-0.09465400960226245,307.0,2.717848837517893,,2.700540340297499,5.695677432408651,
3.0,0.5,ok,49302,1.5554954970757393,0.15285916528557153,6.350865142770461,0.09429138968201475,-0.09422102909411478,307.0,2.705124421688783,,2.6971878033732524,5.667353422494251,
3.0,0.6,ok,50240,1.5525321237834833,0.15190193786425144,6.265732400526356,0.09391423526038956,-0.09378807559556379,307.0,2.692061218759057,,2.694306843176689,5.6378856123585885,
3.0,0.7,ok,50278,1.5491305462128813,0.15094278279317308,6.181347385077622,0.09356209683914087,-0.09335514918750598,307.0,2.6787466851449038,,2.693486830083249,5.603991863160802,
3.0,0.8,ok,53905,1.5452838393732342,0.14998169717643828,6.0977061958942,0.0932352578660267,-0.09292224995082599,307.0,2.6652000304388572,,2.6930506631644757,5.569211869196769,
3.0,0.9,ok,49607,1.5409860223504264,0.14901867808315572,6.014804925273178,0.09293398526786069,-0.092489377966392,307.0,2.651399668912019,,2.6927821127705585,5.534004306417236,
3.5,0.1,ok,50326,1.5650274521879664,0.15699173923129028,6.729145403715305,0.09610976137598574,-0.0946384413045529,307.0,2.761795661358623,,2.6988572942207005,5.816970744154218,
3.5,0.2,ok,50204,1.5659589368414324,0.15639485388704544,6.673414034468232,0.09569857533266236,-0.09289250603826715,307.0,2.758005455508526,,2.681140330207181,5.83314689369356,
3.5,0.3,ok,50463,1.5665391304590381,0.15579232132615495,6.617534081905263,0.09530721933329298,-0.09115201678337603,307.0,2.7538213958871522,,2.664507968138292,5.846945221747938,
3.5,0.4,ok,50060,1.5667672068980012,0.1551852398298228,6.561614652226122,0.09493607064149641,-0.0894110003518751,307.0,2.7492919671761946,,2.648579271102273,5.859188038017022,
3.5,0.5,ok,47418,1.5666569257323282,0.15457600801387228,6.505880604912578,0.0945853647114684,-0.0881487523478004,307.0,2.744436372881692,,2.6343344966060585,5.867744138529868,
3.5,0.6,ok,50459,1.5662023114025705,0.15396478488446652,6.450347962463309,0.09425532709834389,-0.08811157503779732,307.0,2.7392181344944424,,2.620888748544198,5.874525768023842,
3.5,0.7,ok,50639,1.565396405381009,0.15335156821004858,6.395017828950713,0.09394617562886802,-0.08821392879921597,307.0,2.7336895869298115,,2.608173720340044,5.879653146342383,
3.5,0.8,ok,49984,1.564232813815832,0.1527363557317194,6.339891290328091,0.09365811712940017,-0.08849594401428218,307.0,2.727821068828203,,2.5999628011826945,5.874559269164978,
3.5,0.9,ok,50952,1.5627057494359577,0.15211914516305214,6.284969414455911,0.09339134677912493,-0.08877791570437554,307.0,2.7216839254464267,,2.592821686331685,5.866934311949147,
4.0,0.1,ok,53562,1.563241128514225,0.15681049305298855,6.7121827769561,0.09611986788758686,-0.09441729319494596,307.0,2.76005201474652,,2.69483578616323,5.818925734107434,
4.0,0.2,ok,51122,1.5623920447710147,0.15603278339366145,6.6397894948069665,0.09571755638990782,-0.09244802983276867,307.0,2.754522517016076,,2.6732228889143785,5.836878923965366,
4.0,0.3,ok,50171,1.5612252053873892,0.15525265842599567,6.56780583576574,0.09533377622781485,-0.09047841032764259,307.0,2.748568701390009,,2.6527730556135776,5.85246665173498,
4.0,0.4,ok,45789,1.559728794211519,0.15446976557051784,6.496200435469792,0.09496886306465174,-0.08850843498132044,307.0,2.7421549302565804,,2.6333414174464376,5.865922456811841,
4.0,0.5,ok,54624,1.5579049130019567,0.15368502897328162,6.425058255972586,0.09462302416864186,-0.0883346446562302,307.0,2.735315270758027,,2.615791656924174,5.875277894035144,
4.0,0.6,ok,50552,1.5557494314227012,0.15289864767493544,6.3543963929495,0.09429646910507702,-0.08833464465622998,307.0,2.728104380403581,,2.5991827465693014,5.882566274985803,
4.0,0.7,ok,50151,1.5532568981912793,0.15211062208260118,6.284213675150439,0.09398939887236575,-0.08833464465623064,307.0,2.720405817670386,,2.588461714016064,5.876487230193476,
4.0,0.8,ok,48641,1.55042238494696,0.15132095258043932,6.214508910473327,0.09370200503154215,-0.0883346446562302,307.0,2.7122767892521753,,2.58031526579482,5.864436589837699,
4.0,0.9,ok,52064,1.5472415200801382,0.1505296395296114,6.145280886277642,0.09343446914983888,-0.08833464465623031,307.0,2.7036038688667032,,2.573156574164066,5.849999220452162,
4.5,0.1,ok,50654,1.568950120413243,0.157427706695084,6.770089119943631,0.09610921665712362,-0.09331004619599725,307.0,2.776200908892539,,2.6785122947892517,5.877430803709288,
4.5,0.2,ok,49947,1.5738374126232655,0.157265556244073,6.754837354038732,0.09569704199943577,-0.09023337820674959,307.0,2.7864078386371385,,2.640683048738605,5.955487778784934,
4.5,0.3,ok,49542,1.5784375685781646,0.1570999996459148,6.739293896655777,0.0953041566811458,-0.08833464465623053,307.0,2.7957877415506833,,2.6053959929626433,6.029793554233326,
4.5,0.4,ok,48877,1.582743548881244,0.15693156498983307,6.723509925602836,0.09493089186488654,-0.0883346446562302,307.0,2.8043236173475314,,2.5725094661630528,6.100329932853445,
4.5,0.5,ok,49595,1.5867506801159736,0.1567608146620747,6.707539472366975,0.094577461923152,-0.0883346446562302,307.0,2.812006389702841,,2.5423428652456397,6.165998174558905,
4.5,0.6,ok,50617,1.5904493041353034,0.15658775250590207,6.691384089914527,0.09424409000776575,-0.08833464465623053,307.0,2.818864628987303,,2.5194411128014176,6.215178108758771,
4.5,0.7,ok,52324,1.5938301429307773,0.15641238229728516,6.675045334644776,0.0939309896837169,-0.0883346446562302,307.0,2.824775546739806,,2.497994390932387,6.261518555247979,
4.5,0.8,ok,49738,1.5968843451572883,0.15623470774545312,6.6585247662840805,0.09363836429870664,-0.08833464465623053,307.0,2.829696161937574,,2.477709798082853,6.305609634604542,
4.5,0.9,ok,50114,1.599603531994588,0.15605473249342583,6.641823947779415,0.09336640636822309,-0.08833464465623053,307.0,2.8336977154967657,,2.4613584432101216,6.340187180941355,
5.0,0.1,ok,50707,1.5722432511983273,0.15778721745509494,6.804003873439768,0.0961045219356913,-0.09172353775823494,307.0,2.7885414055727993,,2.6614724452536045,5.928568516141817,
5.0,0.2,ok,49576,1.580282722181507,0.1579815261775337,6.822391332435017,0.09569691271740614,-0.08833464465622998,307.0,2.8104760700396256,,2.6103185669238678,6.052193329173119,
5.0,0.3,ok,48932,1.5879146690380939,0.1581715010844733,6.840407573185579,0.09531737369089634,-0.08833464465623075,307.0,2.830940252392826,,2.5642907706380162,6.168235790402154,
5.0,0.4,ok,50051,1.5951272324293764,0.15835769998722937,6.8581031047213035,0.09496620849078362,-0.08833464465622998,307.0,2.849842884638165,,2.5310305555748824,6.256649080684883,
5.0,0.5,ok,50443,1.6019079144556945,0.1585405447653545,6.875515962798608,0.09464371415006385,-0.08833464465623042,307.0,2.867099888517979,,2.501507526497854,6.337800030020838,
5.0,0.6,ok,49176,1.6082410937010279,0.15872005124390443,6.892645757200829,0.0943501846651188,-0.08833464465623064,307.0,2.8826456267698335,,2.4790951780454464,6.4023379436783685,
5.0,0.7,ok,50546,1.6141120818279628,0.1588962349716183,6.909492112183788,0.09408589113030735,-0.08833464465623064,307.0,2.8963632584523915,,2.4675408700964265,6.439457068259581,
5.0,0.8,ok,48118,1.6195072252274014,0.15906911122580536,6.92605466649071,0.09385108053957121,-0.08833464465623009,307.0,2.90817976956826,,2.4568539644835767,6.474504122968546,
5.0,0.9,ok,46483,1.6244140016461905,0.15923869501709875,6.942333073365634,0.09364597467230037,-0.08833464465623053,307.0,2.918033262274064,,2.447983061272375,6.5048936627172615,
